city,lat,lng,temp,humidity,cloudiness,windspeed,country,date
Careiro da Várzea,-3.2,-59.81,82.35,78,40,4.7,BR,1600808035
Bacungan,9.91,118.7,79.45,79,76,1.9,PH,1600808035
Nanortalik,60.14,-45.24,37.63,75,0,11.7,GL,1600808035
Iāwar,23.0,76.5,75.0,93,100,5.21,IN,1600808035
Hobart,-42.88,147.33,48.22,66,40,10.29,AU,1600808035
Kranuan,16.71,103.08,80.6,94,40,5.82,TH,1600808035
Matara,5.95,80.54,77.61,88,91,9.37,LK,1600808036
Saint-Philippe,-21.36,55.77,58.21,63,34,5.82,RE,1600808036
Chīrāla,15.82,80.35,79.63,82,29,12.06,IN,1600808036
Kununurra,-15.77,128.73,78.8,83,40,4.7,AU,1600808036
Tilichiki,60.47,166.1,36.36,80,1,5.32,RU,1600808037
Tasiilaq,65.61,-37.64,30.2,68,100,12.75,GL,1600808037
Coahuayana Viejo,18.73,-103.68,80.6,78,75,11.41,MX,1600808037
Marang,5.21,103.21,78.4,88,40,3.36,MY,1600808037
Mahébourg,-20.41,57.7,69.8,73,20,5.82,MU,1600808037
Harper,4.38,-7.72,76.35,86,58,10.22,LR,1600808038
Pochutla,15.74,-96.47,90.32,59,20,9.17,MX,1600808038
Bambous Virieux,-20.34,57.76,68.47,73,20,5.82,MU,1600808038
Bosaso,11.28,49.18,91.85,38,87,4.43,SO,1600807823
Egvekinot,66.32,-179.17,39.52,70,0,1.36,RU,1600808038
Kandrian,-6.22,149.55,78.24,86,95,2.39,PG,1600808038
Presidencia Roque Sáenz Peña,-26.79,-60.44,77.14,26,0,6.33,AR,1600808038
Okahandja,-21.98,16.92,73.4,11,26,3.36,NA,1600808039
Inongo,-1.95,18.27,73.17,84,59,5.3,CD,1600807878
Wewak,-3.55,143.63,77.16,86,100,6.53,PG,1600808039
Da Lat,11.95,108.44,59.95,100,54,1.32,VN,1600808039
Ketchikan,55.34,-131.65,54.3,76,90,23.04,US,1600808039
Chui,-33.7,-53.46,52.93,71,15,7.94,UY,1600808040
Baghlan,36.13,68.71,56.41,46,0,0.92,AF,1600808040
Port Hardy,50.7,-127.42,62.6,72,75,8.05,CA,1600807766
Itarema,-2.92,-39.92,78.35,77,0,18.75,BR,1600808040
Paita,-5.09,-81.11,67.69,72,11,17.4,PE,1600808040
Papara,-3.98,-38.73,80.29,74,20,10.29,BR,1600808040
Nizwá,22.93,57.53,83.8,15,79,3.02,OM,1600807987
Hamilton,39.18,-84.53,74.39,35,1,4.7,US,1600807865
Eureka,40.8,-124.16,68.41,76,28,4.0,US,1600808041
Chicama,-7.84,-79.15,71.01,60,25,9.55,PE,1600808041
Marsabit,2.33,37.99,69.08,62,22,23.35,KE,1600808041
Mikkeli,61.69,27.27,46.63,100,75,1.61,FI,1600808041
Ahvāz,31.32,48.67,80.6,36,0,2.24,IR,1600808041
Tuktoyaktuk,69.45,-133.04,39.2,86,90,4.7,CA,1600808042
Verkhnevilyuysk,63.45,120.32,40.12,90,0,3.04,RU,1600808042
Manyana,-23.4,21.72,70.88,47,47,19.48,BW,1600808042
Upernavik,72.79,-56.15,27.48,85,56,4.25,GL,1600807766
Narón,43.52,-8.15,62.76,93,75,9.17,ES,1600808042
Sitka,57.05,-135.33,57.2,58,90,20.8,US,1600808042
Vanavara,60.34,102.28,37.94,93,0,3.65,RU,1600808042
Okmulgee,35.62,-95.96,68.0,100,90,6.93,US,1600808043
Honningsvåg,70.98,25.97,46.4,75,40,20.8,NO,1600808043
Bredasdorp,-34.53,20.04,48.2,93,30,2.24,ZA,1600808043
Salina Cruz,16.17,-95.2,92.05,50,0,15.82,MX,1600808043
Qaanaaq,77.48,-69.36,14.23,81,0,8.03,GL,1600808044
Kodinsk,58.69,99.18,39.61,84,100,5.39,RU,1600808044
St. George's,12.06,-61.75,89.6,70,20,14.99,GD,1600807932
Rusape,-18.53,32.13,53.98,95,17,5.95,ZW,1600808044
Provideniya,64.38,-173.3,41.0,66,1,2.24,RU,1600808044
Angoche,-16.23,39.91,74.89,82,2,13.4,MZ,1600808044
Kenai,60.55,-151.26,51.78,66,90,23.04,US,1600808045
Padang,-0.95,100.35,79.11,75,89,4.18,ID,1600808045
Khani,41.96,42.96,66.2,88,55,4.7,GE,1600808045
Laas,46.62,10.7,57.2,93,75,3.36,IT,1600807841
Smolenka,52.14,113.5,32.0,87,91,3.67,RU,1600808045
San Quintín,30.48,-115.95,80.1,50,0,13.89,MX,1600808046
Kawanoechō,34.02,133.57,70.0,83,100,5.19,JP,1600808047
Ust-Maya,60.42,134.53,36.12,83,0,1.1,RU,1600808047
